   Compiling compositor v0.1.0 (/Users/rutmehta/Developer/tessera/.worktrees/M5-08/crates/compositor)
    Finished `release` profile [optimized] target(s) in 1.18s
     Running tests/bench.rs (/Volumes/betterSSD/tessera-cache/target/M5-08/release/deps/bench-7d69129e3441e55c)

running 1 test
prefix=1 id=LayerId(1) mode=Normal CPU=[0.0, 0.43529412, 0.93333334, 1.0] GPU=[0.0, 0.43529412, 0.93333334, 1.0] error=0e0
prefix=2 id=LayerId(2) mode=Dissolve CPU=[0.0, 0.43529412, 0.93333334, 1.0] GPU=[0.0, 0.43529412, 0.93333334, 1.0] error=0e0
prefix=3 id=LayerId(100) mode=HardMix CPU=[0.0, 0.25093427, 0.53803927, 1.0] GPU=[0.0, 0.25093427, 0.53803927, 1.0] error=0e0
prefix=4 id=LayerId(91) mode=ColorDodge CPU=[0.0, 0.31044257, 0.54374653, 1.0] GPU=[0.0, 0.31044257, 0.54374653, 1.0] error=0e0
prefix=5 id=LayerId(82) mode=Normal CPU=[0.0, 0.3645183, 0.40239805, 1.0] GPU=[0.0, 0.3645183, 0.40239805, 1.0] error=0e0
prefix=6 id=LayerId(64) mode=ColorDodge CPU=[0.0, 0.5028293, 0.40922758, 1.0] GPU=[0.0, 0.5028294, 0.40922758, 1.0] error=5.9604645e-8
prefix=7 id=LayerId(55) mode=Normal CPU=[0.0, 0.5024615, 0.25417757, 1.0] GPU=[0.0, 0.50246155, 0.25417757, 1.0] error=5.9604645e-8
prefix=8 id=LayerId(37) mode=ColorDodge CPU=[0.0, 0.64294297, 0.257413, 1.0] GPU=[0.0, 0.642943, 0.257413, 1.0] error=5.9604645e-8
prefix=9 id=LayerId(28) mode=Normal CPU=[0.0, 0.5965018, 0.18682806, 1.0] GPU=[0.0, 0.5965018, 0.18682806, 1.0] error=0e0
prefix=10 id=LayerId(19) mode=HardMix CPU=[0.0, 0.748407, 0.11649279, 1.0] GPU=[0.0, 0.748407, 0.11649279, 1.0] error=0e0
prefix=11 id=LayerId(3) mode=Darken CPU=[0.0, 0.65811646, 0.11649279, 1.0] GPU=[0.0, 0.65811646, 0.11649279, 1.0] error=0e0
prefix=12 id=LayerId(92) mode=LinearDodge CPU=[0.0, 0.77475905, 0.18071425, 1.0] GPU=[0.0, 0.77475905, 0.18071425, 1.0] error=0e0
prefix=13 id=LayerId(83) mode=Dissolve CPU=[0.0, 0.77475905, 0.18071425, 1.0] GPU=[0.0, 0.77475905, 0.18071425, 1.0] error=0e0
prefix=14 id=LayerId(65) mode=LinearDodge CPU=[0.0, 0.89002943, 0.27704644, 1.0] GPU=[0.0, 0.89002943, 0.27704644, 1.0] error=0e0
prefix=15 id=LayerId(56) mode=Dissolve CPU=[0.0, 0.52156866, 0.1882353, 1.0] GPU=[0.0, 0.52156866, 0.1882353, 1.0] error=0e0
prefix=16 id=LayerId(38) mode=LinearDodge CPU=[0.0, 0.7120031, 0.26316032, 1.0] GPU=[0.0, 0.7120031, 0.26316032, 1.0] error=0e0
prefix=17 id=LayerId(29) mode=Dissolve CPU=[0.0, 0.7120031, 0.26316032, 1.0] GPU=[0.0, 0.7120031, 0.26316032, 1.0] error=0e0
prefix=18 id=LayerId(20) mode=Difference CPU=[0.0, 0.44508266, 0.16682814, 1.0] GPU=[0.0, 0.44508266, 0.16682814, 1.0] error=0e0
prefix=19 id=LayerId(11) mode=LinearDodge CPU=[0.0, 0.5933718, 0.22034602, 1.0] GPU=[0.0, 0.5933718, 0.22034602, 1.0] error=0e0
prefix=20 id=LayerId(4) mode=Multiply CPU=[0.0, 0.44817024, 0.14384419, 1.0] GPU=[0.0, 0.44817024, 0.14384419, 1.0] error=0e0
prefix=21 id=LayerId(93) mode=LighterColor CPU=[0.0, 0.49157315, 0.2395927, 1.0] GPU=[0.0, 0.49157315, 0.2395927, 1.0] error=0e0
prefix=22 id=LayerId(84) mode=Darken CPU=[0.0, 0.49157315, 0.2395927, 1.0] GPU=[0.0, 0.49157315, 0.2395927, 1.0] error=0e0
prefix=23 id=LayerId(66) mode=LighterColor CPU=[0.0, 0.5081076, 0.27606833, 1.0] GPU=[0.0, 0.5081076, 0.27606833, 1.0] error=0e0
prefix=24 id=LayerId(57) mode=Darken CPU=[0.0, 0.5081076, 0.27606833, 1.0] GPU=[0.0, 0.5081076, 0.27606833, 1.0] error=0e0
prefix=25 id=LayerId(39) mode=LighterColor CPU=[0.0, 0.5257443, 0.31497568, 1.0] GPU=[0.0, 0.5257443, 0.31497568, 1.0] error=0e0
prefix=26 id=LayerId(30) mode=Darken CPU=[0.0, 0.5257443, 0.31497568, 1.0] GPU=[0.0, 0.5257443, 0.31497568, 1.0] error=0e0
prefix=27 id=LayerId(21) mode=Exclusion CPU=[0.0, 0.5164561, 0.35802707, 1.0] GPU=[0.0, 0.5164561, 0.35802707, 1.0] error=0e0
prefix=28 id=LayerId(12) mode=LighterColor CPU=[0.0, 0.5263443, 0.3544241, 1.0] GPU=[0.0, 0.5263443, 0.3544241, 1.0] error=0e0
prefix=29 id=LayerId(5) mode=ColorBurn CPU=[0.0, 0.27102616, 0.11049692, 1.0] GPU=[0.0, 0.27102616, 0.11049692, 1.0] error=0e0
prefix=30 id=LayerId(94) mode=Overlay CPU=[0.0, 0.29118276, 0.08425295, 1.0] GPU=[0.0, 0.29118276, 0.08425295, 1.0] error=0e0
prefix=31 id=LayerId(85) mode=Multiply CPU=[0.0, 0.20316294, 0.04400395, 1.0] GPU=[0.0, 0.20316294, 0.04400395, 1.0] error=0e0
prefix=32 id=LayerId(67) mode=Overlay CPU=[0.0, 0.21449508, 0.03616546, 1.0] GPU=[0.0, 0.21449508, 0.03616546, 1.0] error=0e0
prefix=33 id=LayerId(58) mode=Multiply CPU=[0.0, 0.16406524, 0.022727929, 1.0] GPU=[0.0, 0.16406524, 0.022727929, 1.0] error=0e0
prefix=34 id=LayerId(40) mode=Overlay CPU=[0.0, 0.17779222, 0.01665509, 1.0] GPU=[0.0, 0.17779222, 0.01665509, 1.0] error=0e0
prefix=35 id=LayerId(31) mode=Multiply CPU=[0.0, 0.14793462, 0.012234864, 1.0] GPU=[0.0, 0.14793462, 0.012234864, 1.0] error=0e0
prefix=36 id=LayerId(22) mode=Subtract CPU=[0.0, 0.08005873, 0.00662122, 1.0] GPU=[0.0, 0.08005873, 0.00662122, 1.0] error=0e0
prefix=37 id=LayerId(13) mode=Overlay CPU=[0.0, 0.08526856, 0.0052451976, 1.0] GPU=[0.0, 0.08526856, 0.0052451976, 1.0] error=0e0
prefix=38 id=LayerId(6) mode=LinearBurn CPU=[0.0, 0.048486043, 0.0029825636, 1.0] GPU=[0.0, 0.048486043, 0.0029825636, 1.0] error=0e0
prefix=39 id=LayerId(95) mode=SoftLight CPU=[0.0, 0.069923, 0.0028286325, 1.0] GPU=[0.0, 0.06992299, 0.0028286325, 1.0] error=7.450581e-9
prefix=40 id=LayerId(86) mode=ColorBurn CPU=[0.0, 0.069923, 0.0028286325, 1.0] GPU=[0.0, 0.06992299, 0.0028286325, 1.0] error=7.450581e-9
prefix=41 id=LayerId(68) mode=SoftLight CPU=[0.0, 0.08880981, 0.0027150698, 1.0] GPU=[0.0, 0.0888098, 0.0027150698, 1.0] error=7.450581e-9
prefix=42 id=LayerId(59) mode=ColorBurn CPU=[0.0, 0.027513625, 0.00084113923, 1.0] GPU=[0.0, 0.027513623, 0.00084113923, 1.0] error=1.8626451e-9
prefix=43 id=LayerId(32) mode=ColorBurn CPU=[0.0, 0.013271277, 0.00040572596, 1.0] GPU=[0.0, 0.013271276, 0.00040572596, 1.0] error=9.313226e-10
prefix=44 id=LayerId(23) mode=Divide CPU=[0.0, 0.019065768, 0.00068575644, 1.0] GPU=[0.0, 0.019065766, 0.00068575644, 1.0] error=1.8626451e-9
prefix=45 id=LayerId(14) mode=SoftLight CPU=[0.0, 0.032272972, 0.0006542243, 1.0] GPU=[0.0, 0.032272972, 0.0006542243, 1.0] error=0e0
prefix=46 id=LayerId(7) mode=DarkerColor CPU=[0.0, 0.032272972, 0.0006542243, 1.0] GPU=[0.0, 0.032272972, 0.0006542243, 1.0] error=0e0
prefix=47 id=LayerId(96) mode=HardLight CPU=[0.0, 0.058838032, 0.031314667, 1.0] GPU=[0.0, 0.058838032, 0.031314667, 1.0] error=0e0
prefix=48 id=LayerId(87) mode=LinearBurn CPU=[0.0, 0.049147062, 0.026156958, 1.0] GPU=[0.0, 0.049147062, 0.026156958, 1.0] error=0e0
prefix=49 id=LayerId(69) mode=HardLight CPU=[0.0, 0.049147062, 0.026156958, 1.0] GPU=[0.0, 0.049147062, 0.026156958, 1.0] error=0e0
